Book Name,Author,Rating,Customers_Rated,Price
Spoken English Course (Telugu),Vashista 360,4.6 out of 5 stars,130,₹ 399.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"8,783",₹ 352.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"14,664",₹ 449.00
The Psychology of Money,Morgan Housel,4.5 out of 5 stars,"5,154",₹ 339.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.4 out of 5 stars,"2,582",₹ 319.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"43,713",₹ 189.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"7,664",₹ 465.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"34,449",₹ 356.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"4,928",₹ 585.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.6 out of 5 stars,"1,440",₹ 108.00
Grandma's Bag of Stories,Sudha Murty,4.6 out of 5 stars,"3,118",₹ 189.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"8,814",₹ 270.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"7,782",₹ 149.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"2,772",₹ 185.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.4 out of 5 stars,291,₹ 325.00
Winning in the Digital Age: Seven Building Blocks of a Successful Digital Transformation,Nitin Seth,4.8 out of 5 stars,64,₹ 621.99
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"13,797",₹ 445.00
One Arranged Murder,Chetan Bhagat,4.2 out of 5 stars,"4,799",₹ 120.00
Unfinished: A Memoir,Priyanka Chopra Jonas,4.2 out of 5 stars,448,₹ 478.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"15,790",₹ 101.00
Beyond Order: 12 More Rules for Life,Jordan B. Peterson,5.0 out of 5 stars,4,₹ 690.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"5,356",₹ 189.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Keller Jeff,4.5 out of 5 stars,"5,785",₹ 158.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.4 out of 5 stars,"1,307",₹ 159.00
Educart All Subjects Final Revision Book Of CBSE Class 10 Strictly For May 2021 Exam (Objective Maps + Case based Q…,Educart,5.0 out of 5 stars,8,₹ 179.00
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"3,453",₹ 242.00
NTA UGC NET/SET/JRF: Teaching & Research Aptitude Paper 1 | By Pearson,KVS Madaan,4.4 out of 5 stars,516,₹ 320.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.4 out of 5 stars,"18,527",₹ 599.00
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.5 out of 5 stars,"3,047",₹ 89.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.7 out of 5 stars,417,₹ 538.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"3,264",₹ 555.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6 out of 5 stars,"28,465",₹ 392.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,"4,281",₹ 180.00
ट्वेल्थ फेल | Twelfth Fail | 12th Fail,Anurag Pathak,4.7 out of 5 stars,"2,114",₹ 142.00
SANGHI WHO NEVER WENT TO A SHAKHA,Rahul Roushan,-1,0,₹ 349.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"39,408",₹ 159.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,193,₹ 125.00
Oswaal CBSE Sample Question Paper Class 10 Science Book (Reduced Syllabus for 2021 Exam),Oswaal Editorial Board,4.4 out of 5 stars,129,₹ 91.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"9,027",₹ 210.00
The Richest Man in Babylon,George S. Clason,4.4 out of 5 stars,"14,795",₹ 99.00
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"24,449",₹ 148.00
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.5 out of 5 stars,"2,694",₹ 799.00
Karma: A Yogi's Guide to Crafting Your Destiny,Sadhguru,-1,0,₹ 259.00
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,"2,642",₹ 120.00
The Monk Who Sold His Ferrari,Robin Sharma,4.6 out of 5 stars,"10,386",₹ 152.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"2,992",₹ 76.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"2,633",₹ 114.00
Objective General English,S.P. Bakshi,4.3 out of 5 stars,"5,048",₹ 210.00
Manorama English Yearbook 2021,Mammen Mathew,4.6 out of 5 stars,138,₹ 289.00
Oswaal CBSE Sample Question Paper Class 10 Mathematics Standard Book (Reduced Syllabus for 2021 Exam),Oswaal Editorial Board,4.6 out of 5 stars,131,₹ 167.00
Wren & Martin High School English Grammar and Composition Book (Regular Edition),Rao N,4.4 out of 5 stars,"2,837",₹ 319.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"3,771",₹ 150.00
Mathematics for Class 10 by R D Sharma (Examination 2020-2021),R.D. Sharma,4.5 out of 5 stars,627,₹ 489.00
Oswaal CBSE Question Bank Class 12 Physics Chapterwise & Topicwise Solved Papers (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.6 out of 5 stars,217,₹ 380.00
1001 Activities Book,Dreamland Publications,4.5 out of 5 stars,"2,654",₹ 240.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"4,117",₹ 280.00
Grandparents' Bag of Stories,Sudha Murty,4.7 out of 5 stars,78,₹ 176.00
LUCENT'S GENERAL KNOWLEDGE WITH GENERAL KNOWLEDGE 2021 EDITION,LUCENT ARIHANT EXPERTS,3.9 out of 5 stars,124,₹ 117.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.4 out of 5 stars,"25,588",₹ 218.00
10 Last Years Solved Papers: CBSE Class 10 for 2021 Examination,Oswal Publishers,4.3 out of 5 stars,273,₹ 499.00
Environment By Shankar (7th) Revised Edition (2019-2020 Session),Shankar,4.3 out of 5 stars,"3,251",₹ 355.00
The Last Hours: Chain of Iron (Book 2),Cassandra Clare,-1,0,₹ 517.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.2 out of 5 stars,"3,691",₹ 235.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"24,449",₹ 159.00
Oswaal CBSE Question Bank Class 10 Science (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.7 out of 5 stars,280,₹ 375.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4 out of 5 stars,"41,318",₹ 269.00
The Right Choice: Resolving 10 Career Dilemmas for Extraordinary Success,Shiv Shivakumar,4.4 out of 5 stars,44,₹ 313.00
The Magic of the Lost Temple,Sudha Murty,4.7 out of 5 stars,"1,621",₹ 137.00
Very First Sight Words Sentences Level - 2,Dreamland Publications,4.6 out of 5 stars,474,₹ 108.00
Kiran SSC Mathematics Chapterwise And Typewise Solved Papers 10500+ Objective Questions (English Medium) (3035),Think Tank of Kiran Institute of,4.1 out of 5 stars,166,₹ 465.00
Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo,4.5 out of 5 stars,"2,324",₹ 409.00
How to Prepare for Quantitative Aptitude for the CAT,Arun Sharma,4.5 out of 5 stars,"1,684",₹ 565.00
Bhagvad gita as it is english new edition,His Divine Grace A.C. Bhaktivedanta,4.7 out of 5 stars,"3,347",₹ 259.00
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"6,513",₹ 134.00
Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,4.6 out of 5 stars,"7,636",₹ 211.00
Colour with Crayons Part - 1,Dreamland Publications,4.2 out of 5 stars,"1,533",₹ 56.00
"Indian Economy for Civil Services, Universities and Other Examinations | 12th Revised Edition",Ramesh Singh,3.9 out of 5 stars,614,₹ 460.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"22,847",₹ 249.00
Oswaal CBSE Question Bank Class 12 Chemistry Chapterwise & Topicwise Solved Papers (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.6 out of 5 stars,205,₹ 352.00
Rich Dad Poor Dad - 20th Anniversary Edition (Hindi),Robert T. Kiyosaki,4.6 out of 5 stars,"3,542",₹ 218.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"2,286",₹ 183.00
Lines and Curves (Pattern Writing) - Part 1,Dreamland Publications,4.4 out of 5 stars,"1,577",₹ 80.00
My Activity- ABC Colouring Book,Dreamland Publications,4.5 out of 5 stars,715,₹ 80.00
"A Competitive Book of Agriculture for UPSC, PSCs ARS/SRF/JRF, Pre PG & Ph.D. Entrance",Nemraj Sunda,4.2 out of 5 stars,454,₹ 235.00
General Knowledge 2021,Manohar Pandey,4.3 out of 5 stars,621,₹ 125.00
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,"3,119",₹ 211.00
Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications,4.6 out of 5 stars,"2,107",₹ 150.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"1,906",₹ 99.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"33,862",₹ 174.00
365 Colouring Book,Dreamland Publications,4.6 out of 5 stars,"1,089",₹ 195.00
Wings of Fire: An Autobiography of Abdul Kalam,Arun Tiwari,4.6 out of 5 stars,"5,328",₹ 337.00
Oswaal CBSE Question Bank Class 10 Social Science (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.7 out of 5 stars,254,₹ 330.00
Pride & Prejudice,Jane Austen,4.5 out of 5 stars,"18,080",₹ 99.00
Current Affairs Yearly 2021,Arihant Experts,3.8 out of 5 stars,46,₹ 106.00
505 Activities for Kids,Dreamland Publications,4.5 out of 5 stars,"1,996",₹ 165.00
Educart Most Recommended Combo | Maths (STANDARD) + Science + Social Science + English CBSE Sample Papers Books Of Class…,Educart,4.5 out of 5 stars,137,₹ 727.99
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"16,131",₹ 452.00
Peppa Pig: Little Library,Peppa Pig,4.3 out of 5 stars,"11,775",₹ 195.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.6 out of 5 stars,42,₹ 225.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"1,446",₹ 627.00
